Time,Value
70.5,1.368966
70.55,1.232735
70.6,1.099117
70.65,0.9862661
70.7,0.900969
70.75,0.8844866
70.8,1.012202
70.85,1.118208
70.9,1.019363
70.95,1.06729
71,1.304026
71.05,1.357136
71.1,1.438035
71.15,1.368556
71.2,1.429039
71.25,1.306621
71.3,1.046612
71.35,0.9505755
71.4,0.9974072
71.45,0.9415112
71.5,0.7435778
71.55,0.4912591
71.6,0.3105216
71.65,0.3483176
71.7,0.3329951
71.75,0.3914057
71.8,0.4269864
71.85,0.3347304
71.9,0.3082074
71.95,0.263878
72,0.2795106
72.05,0.3438689
72.1,0.3857875
72.15,0.3646792
72.2,0.1957967
72.25,0.1233179
72.3,0.1135004
72.35,0.182267
72.4,0.1952753
72.45,0.0915499
72.5,-2.81E-02
72.55,-0.1281111
72.6,-0.2685619
72.65,-0.3479297
72.7,-0.3610944
72.75,-0.3475687
72.8,-0.3085785
