Data File Name,2100 expert_DNA 12000_DE13806110_2016-10-04_12-15-01.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2016-10-04
Date Created,"Tuesday, October 04, 2016 4:15:00 PM"
Date Last Modified,"Tuesday, October 04, 2016 4:50:02 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 12000 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 12000
Assay Version,2.4
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1581
 
Time,Value
48.95,52.79626
49,53.33725
49.05,53.20824
49.1,53.15753
49.15,52.74663
49.2,52.29707
49.25,52.16904
49.3,52.16006
49.35,52.11897
49.4,52.28574
49.45,52.48463
49.5,52.25767
49.55,52.35318
49.6,52.05482
49.65,52.09675
49.7,51.92818
49.75,51.51211
49.8,51.21654
49.85,51.29542
49.9,51.49798
49.95,51.49491
50,51.37653
50.05,51.42258
50.1,51.57557
50.15,51.2898
50.2,50.85434
50.25,50.90123
50.3,51.06495
50.35,51.19079
50.4,51.10479
50.45,51.26648
50.5,51.61917
50.55,51.53809
50.6,50.873
50.65,50.14496
50.7,49.59441
50.75,49.48792
50.8,50.15872
50.85,50.64279
50.9,51.32823
50.95,51.28116
51,50.83191
51.05,50.06288
51.1,49.41166
51.15,49.21386
51.2,49.42571
51.25,49.71098
51.3,49.80981
51.35,49.97945
51.4,50.01003
51.45,50.03212
51.5,49.75954
51.55,49.18444
51.6,48.85574
51.65,48.74653
51.7,48.5571
51.75,48.27
51.8,48.02974
51.85,47.85489
51.9,47.57979
51.95,47.13704
52,46.98956
52.05,47.45424
52.1,47.56998
52.15,47.69723
52.2,47.65296
52.25,47.65894
52.3,47.42738
52.35,47.26726
52.4,47.17915
52.45,47.14195
52.5,47.12489
52.55,46.93219
52.6,46.82943
52.65,46.66869
52.7,46.38035
52.75,46.13904
52.8,46.10177
52.85,45.41711
52.9,45.27358
52.95,45.56958
53,45.89858
53.05,46.05655
53.1,45.94877
53.15,45.74363
53.2,45.6561
53.25,45.10162
53.3,44.57126
53.35,44.52914
53.4,44.42155
53.45,43.94469
53.5,43.88083
53.55,44.04536
53.6,44.19573
53.65,43.85815
53.7,43.1219
53.75,42.66875
53.8,42.75518
53.85,42.86597
53.9,42.84362
53.95,43.00552
54,42.84921
54.05,42.35591
54.1,42.13705
54.15,42.14108
54.2,42.22124
54.25,41.97815
54.3,41.68514
54.35,41.5513
54.4,41.46166
54.45,41.42928
54.5,41.30369
54.55,41.42624
54.6,41.09519
